Status,Story ID,Title,Type,Epic,Priority,Category,Assignees,Milestone,Start Date,Target Date,Issue #,Repository,URL
Done,US-01,US-01 — Register an account,Issue,E1,Must,Features / Logic,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-13,2026-09-15,9,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/9
Done,US-02,US-02 — Log in,Issue,E1,Must,Features / Logic,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-13,2026-09-15,10,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/10
Done,US-03,US-03 — Try EcoTwin without an account,Issue,E1,Should,Features / Logic,lifeisthing,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-13,2026-09-15,11,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/11
Done,US-04,US-04 — Restrict household membership to registered users,Issue,E1,Should,Features / Logic,lifeisthing,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-13,2026-09-15,12,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/12
Done,US-05,US-05 — View account details,Issue,E2,Should,Features / Logic,8ound,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-13,2026-09-15,13,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/13
Done,US-06,US-06 — Change password,Issue,E2,Should,Features / Logic,8ound,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-13,2026-09-15,14,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/14
Done,US-07,US-07 — Log out,Issue,E2,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-13,2026-09-15,15,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/15
Done,US-05,"Account details and change password (US-05, US-06, US-07)",PullRequest,E2,,,8ound,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),,,86,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86
Done,US-08,US-08 — Create a household,Issue,E3,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-15,2026-09-17,16,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/16
Done,US-09,US-09 — Join a household,Issue,E3,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-15,2026-09-17,17,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/17
Done,US-10,US-10 — Leave a household,Issue,E3,Must,Features / Logic,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),,,18,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/18
Done,US-11,US-11 — View current household members,Issue,E3,Should,Features / Logic,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-15,2026-09-17,19,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/19
Done,US-15,Household resource tracking (US-15–18) + CI test gate,PullRequest,E4; E5,,,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),,,82,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/82
Done,US-15,US-15 — Record energy information,Issue,E5,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,23,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/23
Done,US-16,US-16 — Record water information,Issue,E5,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,24,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/24
Done,US-17,US-17 — Record waste information,Issue,E5,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,25,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/25
Done,US-18,US-18 — Record transport information,Issue,E5,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,26,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/26
